iter	Passed	Remaining
0	7	707
1	9	467
2	11	382
3	13	328
4	16	304
5	19	301
6	21	286
7	23	274
8	26	265
9	28	256
10	30	249
11	34	253
12	36	243
13	38	234
14	40	227
15	41	220
16	43	213
17	45	207
18	47	201
19	48	195
20	50	190
21	52	186
22	54	181
23	55	177
24	57	172
25	58	167
26	60	162
27	61	158
28	62	154
29	64	150
30	65	146
31	67	142
32	68	138
33	69	135
34	71	132
35	72	128
36	73	125
37	74	121
38	75	118
39	77	115
40	78	112
41	78	108
42	79	105
43	80	102
44	81	99
45	82	96
46	83	93
47	84	91
48	85	88
49	86	86
50	87	83
51	88	81
52	89	79
53	90	76
54	90	74
55	91	72
56	92	69
57	93	67
58	94	65
59	95	63
60	96	61
61	97	59
62	98	57
63	99	55
64	100	54
65	101	52
66	102	50
67	103	48
68	104	46
69	105	45
70	106	43
71	107	41
72	108	39
73	109	38
74	110	36
75	111	35
76	112	33
77	113	31
78	114	30
79	115	28
80	116	27
81	117	25
82	117	24
83	118	22
84	119	21
85	120	19
86	121	18
87	122	16
88	123	15
89	124	13
90	125	12
91	126	11
92	127	9
93	128	8
94	129	6
95	130	5
96	131	4
97	132	2
98	133	1
99	134	0
