iter	Passed	Remaining
0	296	295969
1	301	150578
2	305	101558
3	310	77278
4	315	62774
5	319	52933
6	323	45831
7	326	40519
8	328	36152
9	329	32628
10	330	29744
11	331	27334
12	333	25285
13	334	23531
14	335	22007
15	336	20673
16	337	19496
17	338	18449
18	339	17513
19	340	16680
20	341	15932
21	343	15255
22	344	14623
23	345	14041
24	346	13507
25	347	13010
26	348	12551
27	349	12124
28	350	11728
29	351	11357
30	352	11010
31	353	10685
32	355	10403
33	356	10128
34	357	9866
35	358	9610
36	359	9367
37	360	9138
38	361	8920
39	363	8712
40	364	8514
41	365	8337
42	366	8166
43	368	8004
44	369	7841
45	370	7685
46	371	7541
47	372	7397
48	375	7284
49	376	7157
50	378	7034
51	379	6910
52	380	6791
53	381	6676
54	382	6565
55	383	6458
56	384	6354
57	385	6254
58	386	6159
59	387	6066
60	388	5983
61	390	5903
62	391	5821
63	392	5742
64	394	5672
65	395	5600
66	396	5528
67	398	5455
68	399	5384
69	400	5315
70	401	5248
71	402	5183
72	403	5127
73	404	5066
74	405	5006
75	406	4947
76	407	4889
77	408	4833
78	409	4779
79	410	4725
80	411	4673
81	412	4622
82	413	4568
83	414	4519
84	415	4472
85	416	4426
86	417	4386
87	419	4344
88	420	4305
89	421	4263
90	422	4222
91	423	4181
92	424	4141
93	425	4102
94	426	4064
95	427	4027
96	428	3990
97	429	3954
98	430	3918
99	432	3889
100	433	3860
101	435	3829
102	436	3798
103	437	3766
104	438	3735
105	439	3704
106	440	3673
107	441	3643
108	442	3614
109	443	3585
110	444	3557
111	445	3529
112	446	3505
113	448	3484
114	449	3460
115	450	3435
116	451	3408
117	452	3383
118	453	3358
119	454	3334
120	455	3310
121	456	3285
122	457	3262
123	458	3239
124	459	3216
125	460	3196
126	462	3178
127	463	3159
128	465	3140
129	466	3119
130	467	3098
131	468	3078
132	469	3057
133	470	3038
134	471	3018
135	472	2999
136	473	2979
137	474	2961
138	475	2948
139	478	2937
140	480	2925
141	481	2907
142	482	2891
143	483	2876
144	485	2860
145	486	2843
146	487	2827
147	488	2811
148	489	2796
149	491	2784
150	492	2770
151	494	2761
152	496	2749
153	498	2735
154	499	2720
155	500	2705
156	501	2690
157	502	2675
158	503	2661
159	504	2647
160	506	2637
161	507	2626
162	508	2613
163	509	2599
164	510	2585
165	512	2572
166	513	2559
167	514	2546
168	515	2533
169	516	2521
170	517	2508
171	518	2496
172	520	2489
173	522	2478
174	523	2467
175	524	2455
176	525	2443
177	526	2431
178	527	2419
179	528	2407
180	529	2395
181	530	2384
182	531	2372
183	532	2361
184	533	2350
185	535	2343
186	536	2334
187	538	2324
188	539	2313
189	540	2302
190	541	2292
191	542	2281
192	543	2271
193	544	2260
194	545	2250
195	546	2240
196	547	2229
197	548	2221
198	550	2214
199	551	2205
200	552	2196
201	553	2186
202	554	2177
203	555	2167
204	556	2158
205	557	2148
206	558	2139
207	559	2130
208	560	2121
209	561	2112
210	562	2104
211	565	2100
212	566	2094
213	568	2087
214	569	2079
215	571	2074
216	572	2067
217	574	2059
218	575	2053
219	576	2045
220	578	2040
221	580	2032
222	581	2024
223	582	2017
224	583	2009
225	584	2002
226	585	1995
227	587	1987
228	588	1980
229	590	1975
230	591	1969
231	593	1963
232	594	1956
233	595	1949
234	596	1942
235	598	1937
236	599	1931
237	601	1925
238	602	1917
239	603	1910
240	604	1903
241	605	1896
242	606	1889
243	608	1886
244	610	1880
245	611	1874
246	612	1867
247	613	1859
248	614	1853
249	615	1846
250	616	1839
251	617	1832
252	618	1825
253	619	1818
254	620	1812
255	621	1806
256	623	1802
257	624	1796
258	625	1790
259	626	1784
260	628	1778
261	629	1771
262	630	1765
263	631	1759
264	632	1753
265	633	1746
266	634	1740
267	635	1734
268	637	1731
269	638	1726
270	639	1721
271	640	1715
272	641	1709
273	642	1703
274	643	1697
275	644	1691
276	645	1686
277	646	1680
278	647	1674
279	649	1669
280	650	1664
281	652	1660
282	653	1655
283	654	1650
284	655	1644
285	656	1639
286	657	1634
287	658	1628
288	659	1623
289	660	1617
290	661	1612
291	662	1607
292	663	1601
293	665	1598
294	666	1593
295	667	1588
296	669	1583
297	670	1578
298	671	1573
299	672	1568
300	673	1563
301	674	1557
302	675	1552
303	676	1547
304	677	1542
305	678	1538
306	679	1533
307	680	1529
308	681	1524
309	683	1521
310	684	1517
311	686	1513
312	687	1508
313	688	1503
314	689	1498
315	690	1494
316	691	1489
317	692	1484
318	693	1480
319	695	1477
320	696	1473
321	697	1469
322	698	1464
323	699	1460
324	700	1455
325	701	1451
326	702	1446
327	703	1442
328	704	1437
329	705	1433
330	706	1428
331	708	1424
332	709	1421
333	711	1418
334	712	1414
335	713	1409
336	714	1405
337	715	1401
338	716	1396
339	717	1392
340	718	1388
341	719	1384
342	720	1379
343	721	1375
344	724	1375
345	726	1373
346	727	1369
347	729	1365
348	730	1362
349	731	1358
350	732	1354
351	733	1350
352	734	1346
353	735	1342
354	736	1338
355	738	1336
356	740	1332
357	741	1330
358	742	1326
359	743	1322
360	744	1318
361	745	1314
362	746	1310
363	747	1306
364	748	1302
365	749	1298
366	750	1295
367	752	1292
368	754	1289
369	755	1285
370	756	1281
371	757	1278
372	758	1274
373	759	1270
374	760	1266
375	761	1263
376	762	1259
377	763	1255
378	764	1252
379	765	1248
380	766	1244
381	767	1241
382	768	1238
383	769	1235
384	771	1232
385	772	1229
386	774	1226
387	775	1222
388	776	1219
389	777	1215
390	778	1212
391	779	1208
392	780	1205
393	782	1203
394	783	1200
395	784	1197
396	785	1193
397	786	1190
398	787	1186
399	788	1183
400	789	1179
401	790	1176
402	791	1173
403	792	1169
404	794	1166
405	795	1163
406	796	1161
407	798	1158
408	799	1155
409	800	1151
410	801	1148
411	802	1145
412	803	1142
413	804	1138
414	805	1135
415	806	1132
416	807	1129
417	808	1125
418	809	1122
419	811	1120
420	813	1118
421	814	1115
422	815	1112
423	816	1109
424	817	1105
425	818	1102
426	819	1099
427	820	1096
428	821	1093
429	823	1091
430	824	1088
431	826	1086
432	828	1084
433	829	1081
434	830	1078
435	831	1075
436	832	1072
437	833	1069
438	834	1066
439	835	1063
440	836	1060
441	837	1057
442	839	1054
443	840	1052
444	841	1049
445	842	1046
446	843	1043
447	844	1040
448	845	1037
449	846	1034
450	847	1031
451	849	1029
452	850	1026
453	851	1024
454	852	1021
455	853	1018
456	855	1016
457	856	1013
458	858	1011
459	859	1009
460	860	1006
461	861	1003
462	863	1001
463	864	998
464	865	995
465	866	993
466	869	992
467	872	991
468	874	989
469	875	987
470	878	986
471	880	984
472	882	982
473	884	981
474	886	979
475	888	978
476	890	976
477	892	974
478	893	971
479	894	969
480	903	974
481	905	972
482	906	970
483	907	967
484	909	965
485	910	962
486	911	960
487	914	959
488	915	957
489	917	954
490	918	951
491	919	949
492	920	946
493	921	944
494	922	941
495	923	938
496	924	935
497	925	933
498	927	931
499	928	928
500	929	925
501	930	923
502	931	920
503	932	918
504	933	915
505	934	912
506	935	910
507	936	907
508	937	904
509	938	902
510	940	899
511	941	897
512	942	895
513	944	892
514	945	890
515	947	888
516	948	886
517	949	883
518	951	881
519	952	878
520	953	876
521	954	873
522	956	872
523	958	870
524	959	868
525	960	865
526	961	863
527	962	860
528	963	858
529	964	855
530	965	853
531	966	850
532	967	847
533	968	845
534	970	843
535	972	841
536	974	839
537	975	837
538	976	835
539	977	832
540	978	830
541	979	827
542	980	825
543	982	823
544	983	820
545	984	818
546	987	817
547	988	815
548	989	813
549	991	810
550	992	808
551	993	806
552	994	803
553	995	801
554	996	799
555	997	796
556	998	794
557	1000	792
558	1002	790
559	1004	788
560	1005	786
561	1006	784
562	1007	781
563	1008	779
564	1010	778
565	1011	775
566	1013	773
567	1014	771
568	1015	769
569	1016	767
570	1017	764
571	1019	762
572	1020	760
573	1021	758
574	1022	755
575	1023	753
576	1024	751
577	1025	749
578	1027	746
579	1028	744
580	1030	743
581	1031	741
582	1033	739
583	1034	736
584	1035	734
585	1036	732
586	1037	730
587	1039	728
588	1040	725
589	1041	723
590	1042	721
591	1044	720
592	1046	718
593	1050	717
594	1052	716
595	1054	714
596	1055	712
597	1058	711
598	1060	710
599	1062	708
600	1064	706
601	1065	704
602	1066	702
603	1068	700
604	1069	698
605	1070	695
606	1071	693
607	1072	691
608	1075	690
609	1077	688
610	1078	686
611	1080	684
612	1081	682
613	1082	680
614	1083	678
615	1084	676
616	1085	673
617	1086	671
618	1089	670
619	1090	668
620	1091	666
621	1092	663
622	1093	661
623	1094	659
624	1095	657
625	1096	655
626	1097	652
627	1098	650
628	1099	648
629	1100	646
630	1102	644
631	1103	642
632	1104	640
633	1105	638
634	1106	636
635	1107	633
636	1108	631
637	1109	629
638	1110	627
639	1111	625
640	1112	623
641	1113	620
642	1114	618
643	1115	616
644	1117	615
645	1119	613
646	1120	611
647	1121	609
648	1122	607
649	1123	604
650	1124	602
651	1125	600
652	1126	598
653	1127	596
654	1128	594
655	1129	592
656	1130	590
657	1132	588
658	1133	586
659	1134	584
660	1136	582
661	1137	580
662	1138	578
663	1139	576
664	1140	574
665	1141	572
666	1142	570
667	1143	568
668	1144	566
669	1146	564
670	1148	562
671	1149	561
672	1150	558
673	1151	556
674	1152	554
675	1153	552
676	1154	550
677	1155	548
678	1156	546
679	1157	544
680	1158	542
681	1160	540
682	1161	539
683	1162	537
684	1163	535
685	1164	533
686	1165	531
687	1166	529
688	1167	527
689	1168	525
690	1170	523
691	1170	521
692	1171	519
693	1172	517
694	1174	515
695	1176	513
696	1177	511
697	1178	510
698	1179	508
699	1180	506
700	1181	504
701	1182	502
702	1183	500
703	1184	498
704	1185	496
705	1186	494
706	1187	492
707	1189	490
708	1190	488
709	1191	486
710	1192	484
711	1193	482
712	1194	480
713	1195	478
714	1196	476
715	1197	474
716	1198	472
717	1199	471
718	1200	469
719	1201	467
720	1202	465
721	1205	464
722	1206	462
723	1207	460
724	1208	458
725	1209	456
726	1211	454
727	1212	452
728	1213	450
729	1214	449
730	1215	447
731	1216	445
732	1216	443
733	1218	441
734	1219	439
735	1221	438
736	1222	436
737	1224	434
738	1225	432
739	1226	430
740	1227	429
741	1228	427
742	1229	425
743	1230	423
744	1231	421
745	1233	419
746	1234	418
747	1236	416
748	1237	414
749	1238	412
750	1239	410
751	1240	409
752	1241	407
753	1242	405
754	1243	403
755	1244	401
756	1245	399
757	1246	397
758	1248	396
759	1249	394
760	1250	392
761	1251	391
762	1253	389
763	1254	387
764	1255	385
765	1256	383
766	1257	381
767	1258	380
768	1259	378
769	1260	376
770	1262	374
771	1263	373
772	1265	371
773	1266	369
774	1267	367
775	1268	366
776	1269	364
777	1270	362
778	1271	360
779	1272	358
780	1273	357
781	1274	355
782	1275	353
783	1277	351
784	1278	350
785	1279	348
786	1280	346
787	1281	344
788	1282	342
789	1283	341
790	1284	339
791	1285	337
792	1286	335
793	1287	333
794	1288	332
795	1289	330
796	1290	328
797	1291	326
798	1293	325
799	1294	323
800	1295	321
801	1296	320
802	1297	318
803	1298	316
804	1299	314
805	1300	312
806	1301	311
807	1302	309
808	1303	307
809	1304	305
810	1306	304
811	1307	302
812	1309	301
813	1310	299
814	1311	297
815	1312	295
816	1313	294
817	1314	292
818	1315	290
819	1316	288
820	1317	287
821	1318	285
822	1319	283
823	1321	282
824	1322	280
825	1323	278
826	1325	277
827	1326	275
828	1327	273
829	1328	272
830	1329	270
831	1330	268
832	1331	267
833	1332	265
834	1334	263
835	1335	262
836	1337	260
837	1338	258
838	1339	257
839	1340	255
840	1341	253
841	1342	251
842	1343	250
843	1344	248
844	1345	246
845	1346	245
846	1347	243
847	1349	241
848	1350	240
849	1352	238
850	1353	236
851	1354	235
852	1355	233
853	1356	231
854	1357	230
855	1358	228
856	1359	226
857	1360	225
858	1361	223
859	1362	221
860	1363	220
861	1364	218
862	1365	216
863	1366	215
864	1367	213
865	1368	211
866	1369	210
867	1370	208
868	1371	206
869	1372	205
870	1373	203
871	1374	201
872	1375	200
873	1377	198
874	1378	196
875	1380	195
876	1381	193
877	1382	192
878	1383	190
879	1384	188
880	1385	187
881	1386	185
882	1388	183
883	1389	182
884	1389	180
885	1390	178
886	1395	177
887	1397	176
888	1398	174
889	1399	172
890	1400	171
891	1401	169
892	1402	168
893	1403	166
894	1404	164
895	1405	163
896	1406	161
897	1408	159
898	1410	158
899	1411	156
900	1412	155
901	1413	153
902	1414	151
903	1415	150
904	1416	148
905	1417	147
906	1418	145
907	1419	143
908	1420	142
909	1422	140
910	1423	139
911	1424	137
912	1427	135
913	1429	134
914	1430	132
915	1432	131
916	1433	129
917	1434	128
918	1435	126
919	1437	125
920	1439	123
921	1440	121
922	1441	120
923	1442	118
924	1443	117
925	1444	115
926	1445	113
927	1446	112
928	1447	110
929	1448	109
930	1449	107
931	1450	105
932	1452	104
933	1453	102
934	1454	101
935	1455	99
936	1456	97
937	1457	96
938	1458	94
939	1459	93
940	1460	91
941	1461	89
942	1462	88
943	1463	86
944	1464	85
945	1466	83
946	1467	82
947	1468	80
948	1469	78
949	1470	77
950	1471	75
951	1472	74
952	1473	72
953	1474	71
954	1475	69
955	1476	67
956	1477	66
957	1478	64
958	1480	63
959	1481	61
960	1483	60
961	1484	58
962	1485	57
963	1486	55
964	1487	53
965	1488	52
966	1489	50
967	1490	49
